 1.253	  0.305	
 1.264	  0.355	
 1.276	  0.361	
 1.288	  0.330	
 1.299	  0.326	
 1.311	  0.254	
 1.322	  0.267	
 1.334	  0.268	
 1.345	  0.256	
 1.356	  0.263	
 1.367	  0.283	
 1.378	  0.258	
 1.389	  0.121	
 1.399	  0.021	
 1.409	  0.010	
 1.419	  0.014	
 1.429	  0.012	
 1.253	  0.432	
 1.265	  0.386	
 1.276	  0.375	
 1.322	  0.317	
 1.334	  0.261	
 1.345	  0.246	
 1.356	  0.216	
 1.367	  0.249	
 1.378	  0.260	
 1.389	  0.108	
 1.399	  0.022	
 1.409	  0.014	
 1.419	  0.017	
 1.429	  0.013	
 1.439	  0.009	
 1.253	  0.374	
 1.265	  0.363	
 1.276	  0.323	
 1.288	  0.317	
 1.322	  0.246	
 1.334	  0.274	
 1.345	  0.273	
 1.356	  0.285	
 1.367	  0.238	
 1.378	  0.223	
 1.389	  0.058	
 1.399	  0.011	
 1.409	  0.016	
 1.419	  0.010	
 1.429	  0.009	
 1.439	  0.006	
 1.457	  0.009	
 1.254	  0.371	
 1.266	  0.374	
 1.277	  0.349	
 1.289	  0.335	
 1.300	  0.280	
 1.312	  0.303	
 1.323	  0.244	
 1.334	  0.248	
 1.345	  0.216	
 1.356	  0.243	
 1.367	  0.246	
 1.378	  0.221	
 1.389	  0.067	
 1.399	  0.015	
 1.409	  0.011	
 1.419	  0.009	
 1.254	  0.422	
 1.266	  0.394	
 1.277	  0.417	
 1.289	  0.336	
 1.300	  0.323	
 1.312	  0.303	
 1.323	  0.281	
 1.334	  0.248	
 1.345	  0.207	
 1.356	  0.244	
 1.367	  0.214	
 1.378	  0.222	
 1.389	  0.103	
 1.399	  0.021	
 1.409	  0.017	
 1.429	  0.011	
